학과명,대계열
컴퓨터교육과,사회
컴퓨터교육학과,사회
토목공학교육과,사회
화학공학교육과,사회
건축ㆍ토목공학교육학과군,사회
기계ㆍ금속공학교육전공,사회
기계ㆍ금속공학교육학과군,사회
기술ㆍ화공교육학과군,사회
전기ㆍ전자공학교육학과군,사회
정보전자공학교육과,사회
컴퓨터교육과(심화전공),사회
기술교육전공,사회
화공섬유공학교육전공,사회
기계・금속공학교육전공,사회
전기・전자・통신공학교육전공,사회
건설공학교육전공,사회
화공・섬유공학교육전공,사회
건설공학교육과,사회
기계・금속공학교육과,사회
전기・전자・통신공학교육과,사회
컴퓨터교육전,사회
가정교육과,사회
공업교육계열,사회
공업화학교육과,사회
과학교육과,사회
과학교육학과,사회
과학교육학부,사회
기술교육과,사회
농산업교육과,사회
농업교육과,사회
물리교육과,사회
물리교육전공,사회
산업교육학과,사회
생물교육과,사회
생물교육전공,사회
생물학교육전공,사회
수산교육과,사회
수학·과학교육계,사회
수학교육과,사회
수학교육전공,사회
수학교육학과,사회
지구과학교육과,사회
지구과학교육전공,사회
화학교육과,사회
화학교육전공,사회
환경공업교육과,사회
환경교육과,사회
과학교육계,사회
수학교육,사회
수해양산업교육과,사회
수해양산업교육과 기관공학전공,사회
수해양산업교육과 냉동공학전공,사회
수해양산업교육과 식품공학전공,사회
수해양산업교육과 양식공학전공,사회
수해양산업교육과 어업공학전공,사회
과학교육학부 물리교육전공,사회
과학교육학부 화학교육전공,사회
과학교육학부 생물교육전공,사회
과학교육학부 지구과학교육전공,사회
과학교육학부(물리교육전공),사회
과학교육학부(화학교육전공),사회
과학교육학부(생물교육전공),사회
과학교육계열,사회
자연과학대학 수학교육과,사회
자연과학대학 가정교육과,사회
공업교육학부,사회
과학교육과,사회
공통과학교육전공,사회
기술.가정교육전공,사회
가정교육전공,사회
실과교육과(심화전공),사회
과학교육과(심화전공),사회
수학교육과(심화전공),사회
생활과학교육과,사회
생활과학교육과(심화전공),사회
생물교육학과,사회
수학교육과 자연과학대학,사회
가정교육과 자연과학대학,사회
과학.환경교육학부,사회
환경교육전공,사회
정보과학교육과,사회
기술・가정교육과,사회
공통과학전공,사회
과학교육학부(지구과학교육전공),사회
수해양산업교육과 항해공학전공,사회
무용교육전공,사회
미술교육과,사회
미술교육학과,사회
선교체육교육과,사회
음악교육과,사회
음악교육학과,사회
체육교육과,사회
미술교육과(심화전공),사회
음악교육과(심화전공),사회
체육교육과(심화전공),사회
체육교육학과,사회
체육학부 생활체육학전공,인문
아동미술학과,인문
아동미술학전공,인문
아동미술전공,인문
평생교육전공,사회
사이버교육과,사회
평생교육학전공,사회
e-평생교육학과,사회
평생교육청소년학과,사회
평생교육융합학과,사회
평생교육대학,사회
뇌교육융합학과,사회
평생교육학연계전공,사회
기독교·평생교육학과군,사회
보건교육과,사회
보건교육학과,사회
댄스교육학과,인문
카리스교양교육원,교육
혁신융합학부,교육
상상력교양대학,교육
융합전공,교육
아리교양대학,교육
쿰칼리지,교육
카리스교양대학,교육
휴머니티교양대학,교육
기초과정,공학
기초과정,의약
디자인공학부,자연
디자인(공통),인문
디자인계열,인문
디자인공학과,인문
디자인과,인문
디자인대학,인문
디자인전공,인문
디자인학과,인문
디자인학과군,인문
디자인학부,인문
디자인학전공,인문
예술학부(디자인전공),인문
디자인학부(예술대학),인문
디자인예술학부,인문
"디자인학부(프로덕트디자인학, 커뮤니케이션디자인학,디지털콘텐츠디자인학)",인문
디자인학부/미술대학,인문
자율전공학부(예체능),인문
디자인학부(신),인문
디자인학부(구),인문
"디자인학부(제품·환경디자인학, 시각디자인학, 디지털콘텐츠디자인학)",인문
디자인.문화학부,인문
디자인학부(디자인공학전공),인문
디자인학부(디자인전공),인문
디자인학부(디자인학과),인문
예술디자인학부,인문
연계전공 통합창의디자인,인문
예술디자인대학,인문
디자인예술문화전공,인문
실용예술학부,인문
융복합디자인학부,인문
기초교양대학(예체능),인문
자율전공(예체능학부),인문
융합디자인전공,인문
디자인콘텐츠융합계열,인문
예능학부,인문
예문학부,인문
예술계열,인문
예술관리학과,인문
예술학부,인문
문화예술학부,인문
교양학부(예체능계열),인문
교양학과(예체능계열),인문
생활예술학과,인문
교양대학(예체능),인문
미래교육원(예체능),인문
자유교양대학(예체능계열),인문
문화예술계열,인문
가상학과,인문
문화콘텐츠학과(인문과학대학),교육
디지털영상문화콘텐츠학과,교육
정보·인터랙션 디자인,교육
미디어경영학과,공학
엔터테인먼트전공,공학
문화디자인경영전공,공학
엔터테인먼트학전공,공학
e-Book디자인제작학과,공학
광고영상창작학과,공학
뉴미디어전공,공학
뉴미디어학과,공학
다중매체전공,공학
디지털미디어학부,공학
디지털미디어학전공,공학
디지털방송전공,공학
디지털영상매스컴학부,공학
디지털출판미디어학과,공학
디지털출판학전공,공학
매체전공,공학
매체정보학과,공학
매체정보학전공,공학
문예매스컴학부,공학
문예영상창작과,공학
문예영상학과,공학
문예영상학과군,공학
문예영상학부,공학
문예정보학과,공학
문학영상정보학부,공학
문학영상창작전공,공학
문학영상창작학전공,공학
미디어문예창작학과,공학
미디어문학부,공학
미디어창작과,공학
미디어창작전공,공학
미디어학부,공학
방송전공,공학
방송정보학과,공학
영상시나리오전공,공학
인터넷·미디어학부,공학
인터넷·TV방송전공,공학
정보미디어전공,공학
정보미디어학과,공학
정보미디어학과군,공학
정보방송학과,공학
출판미디어,공학
출판전공,공학
디지털영상전공,공학
디지털영상정보학부,공학
디지털영상학전공,공학
디지털프로덕션전공,공학
미디어문예창작학전공,공학
인터넷미디어전공,공학
인터랙티브미디어전공,공학
정보미디어학부,공학
디지털미디어학과,공학
디지털미디어과,공학
미디어전공,공학
디지털미디어전공,공학
디지털영상매체전공,공학
케이블방송정보학과,공학
출판미디어학과,공학
미디어문학과,공학
신문방송영화학전공,공학
인터넷신문방송학과,공학
정보미디어대학,공학
디지털미디어공학전공,공학
방송미디어학부,공학
미디어창작학과,공학
미디어영상전공,공학
CT대학 인터랙티브미디어전공,공학
미디어정보·사회학전공,공학
언론홍보문화콘텐츠학부,공학
방송미디어학전공,공학
사회과학대학 미디어영상학부,공학
출판광고학과,공학
공연미디어학과,공학
영상문예창작전공,공학
방송문예학과,공학
정보/미디어계열,공학
방송미디어학과,공학
언론광고학부 언론영상전공,공학
극작과,공학
미디어커뮤니케이션학과,공학
언론영상광고학부,공학
방송・매체공학과,공학
방송통신시스템학과,공학
문학영상정보학과,공학
인터랙티브미디어학과,공학
방송문예창작학과,공학
스포츠미디어연계전공,공학
언론미디어학과,공학
미디어커뮤니케이션전공,공학
미디어커뮤니케이션학부,공학
방송미디어과학과,공학
디지털미디어학부(인터넷미디어전공),공학
커뮤니케이션·미디어학부,공학
커뮤니케이션·미디어학전공,공학
미디어문학전공,공학
디지털콘텐츠창작학과,공학
미디어콘텐츠경영학과,공학
디지털미디어콘텐츠전공,공학
디지털콘텐츠디자인학부,공학
언론방송융합미디어전공,공학
영상콘텐츠융합학과,공학
미디어콘텐츠학전공,공학
방송제작학전공,공학
광고영상미디어학과,공학
연예예술경영학과,공학
미디어콘텐츠학부,공학
미디어커뮤니케이션한국문화전공,공학
미디어영상광고학부 언론영상전공,공학
미디어컨텐츠융합자율학부,공학
미디어언론학과,공학
커뮤니케이션전공,공학
콘텐츠제작전공,공학
미디어스쿨,공학
미디어커뮤니케이션계열,공학
미디어콘텐츠융합자율학부,공학
정보·인터랙션 디자인,공학
정보기술컴퓨터공학부 멀티미디어전공,자연
멀티미디어전공,자연
전산ㆍ게임학과,자연
컴퓨터멀티미디어전공,자연
컴퓨터전자공학부 멀티미디어전공,자연
정보기술공학부 멀티미디어전공,자연
컴퓨터미디어전공,자연
IT·건축조형대학 인터랙티브미디어전공,자연
디지털콘텐츠계열,자연
IT디자인학과,자연
디지털콘텐츠디자인학과,자연
컴퓨터.게임학과,자연
전산・게임학과,자연
컴퓨터・미디어・산업공학부 미디어공학전공,자연
